Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
"Wow, love that a place like this moved in down the street. 
Inexpensive, fresh, delicious - everything I want in a mexican restaurant.
My soft shell carne asada taco was fantastic -- freshly prepared and topped with guacamole, which by the way is super creamy. Basket of chips are free, as is the toppings bar -- every one of the 6 or sauces were delicious. 
I plan on frequenting Salsa Blanca ; )",5,10.0,wow love place like move street inexpensive fresh delici everyth want mexican restaurant soft shell carn asada taco fantast freshli prepar top guacamole way super creamy basket chip free top bar everi one  sauc delicious plan frequent salsa blanca,39
This is the closest to a New York hipster style coffee shop I've seen in Arizona.  They serve beer too.  Problem is that the espresso was unbelievably bitter.  Cookie happy hour is pretty cool though.,1,0.0,closest new york hipster style coffe shop iv seen arizona serv beer too problem espresso unbeliev bitter cooki happi hour pretti cool though,23
"Not a fan.  I know this isn't supposed to be authentic Asian food but the dish I ordered (can't remember what it was called) was inedible.  The description of the entree I ordered gave no indication that it would be sweet in flavor.  I'm not a huge fan of sweet entrees in the first place but this dish was sickeningly sweet.  I had to send it back.  The reasons why I give this place 2 stars is because of the nice ambiance, the service is good, and they were nice enough to swap out my entree for something a little more palatable.",2,2.5,fan know isnt suppos authent asian food dish order cant rememb called inedible descript entre order gave indic would sweet flavor im huge fan sweet entre first place dish sickeningli sweet send back reason give place  star nice ambiance servic good nice enough swap entre someth littl palatable,48
"My husband and I absolutely LOVE this restaurant! Anytime I find myself craving Mexican food, the first place that pops in my head is Salsa Blanca. We have always encountered friendly, welcoming staff and amazing, fulfilling food. What more could you ask for?!",5,10.0,husband absolut love restaurant anytim find crave mexican food first place pop head salsa blanca alway encount friendly welcom staff amazing fulfil food could ask for,26
Best place in Arcadia to get a coffee or a tea. Lots of friendly locals and great place to sit outside to people watch and read the paper in the morning early lunchtime.,5,10.0,best place arcadia get coffe tea lot friendli local great place sit outsid peopl watch read paper morn earli lunchtime,20
"Every friday, my dad and I eat here. We order the same thing... pizza wraps. they are good and fillng. iced tea hits the spot. Typical strip mall pizza.",3,5.0,everi friday dad eat here order thing pizza wrap good fillng ice tea hit spot typic strip mall pizza,19
"This place needs a face-lift, the whole concept and decor is outdated and needs some help. I think their sushi and other food items are alright, although they try to be so trendy and in reality there menu is pretty blah. Its a fun place to grab a drink and sit on the patio, but the excitement and trendiness of this place is completely gone.",3,5.0,place need facelift whole concept decor outdat need help think sushi food item alright although tri trendi realiti menu pretti blah fun place grab drink sit patio excit trendi place complet gone,32
"Best Steak Ever. That is all.  

Everything on the menu is amazing. Go now.",5,10.0,best steak ever all everyth menu amazing go now,9
"It was almost impossible for me not to stop here on the cab ride back from old town for carne asada fries.mmmm sooo good! I really only went there between the hours of 2-4am but, los betos never let me down.",4,7.5,almost imposs stop cab ride back old town carn asada friesmmmm sooo good realli went hour am but lo beto never let down,23
"Excellent service!!!! I had to find a spa different from lavenders after they got rid of yet another excellent staff member, so I tried this place! I was SO HAPPY!! clean, pleasant, warm, comforting. The manager is actually on site and aware of the things going on in their spa! The staff is friendly and efficient! 
Lavenders day spa can learn from this place. Send the owner from lavenders to sanity and TAKE NOTES. 
I HIGHLY recommend it here!!!!!! Go and enjoy!!!",5,10.0,excel service find spa differ lavend got rid yet anoth excel staff member tri place happy clean pleasant warm comforting manag actual site awar thing go spa staff friendli efficient lavend day spa learn place send owner lavend saniti take note highli recommend here go enjoy,46
"So much food to choose from on the menu! They have so many options (healthy eater,unhealthy eater,  vegetarian, breakfast, lunch, etc)  for every kind of diner. I tried an omlet with turkey and brie and I enjoyed it very much. The orange juice was fresh. I was expecting very large portions but they are more than perfect for a super hungry appetite. Service was very good.",4,7.5,much food choos menu mani option healthi eaterunhealthi eater vegetarian breakfast lunch etc everi kind diner tri omlet turkey brie enjoy much orang juic fresh expect larg portion perfect super hungri appetite servic good,34
the grilled chicken sandwich hold the mayo add ketchup and mustard and the fries - off the chain!  minus one star because it should stay open later.,4,7.5,grill chicken sandwich hold mayo add ketchup mustard fri chain minu one star stay open later,16
Went downhill. Not clean and the food isn't what it used to be.,2,2.5,went downhill clean food isnt use be,7
"This dog park gets one star.Why?Because the last time I went,some piece of shit broke into just about every car in the parking lot to steal whatever they could.So much broken glass from side windows everywhere.
It used to be okay before this incident,but a busy parking lot in borad daylight and some vulture lies in wait?
Yeah,I'm done here.",1,0.0,dog park get one starwhybecaus last time wentsom piec shit broke everi car park lot steal whatev couldso much broken glass side window everywhere use okay incidentbut busi park lot borad daylight vultur lie wait yeahim done here,38
"great beer, great food, great prices and it's haunted!!!",4,7.5,great beer great food great price it haunted,8
"Great little hole in the wall with authentic New Mexican food.  Chili Relleno was awesome, and the red and green chile was flavorful and spicy.  Rice and beans were good and the sopapilla was delicious. Atmosphere was cozy.  If you want real red and green chile vs. sauce this is the place.",5,10.0,great littl hole wall authent new mexican food chili relleno awesome red green chile flavor spicy rice bean good sopapilla delicious atmospher cozy want real red green chile v sauc place,31
"I just stopped at Biagio nail place today and got my mani and pedi done, it was fabulous. Tiffany gave me great feet and my neck massage. She does really job. The shellac manicure was really nice she gave me a lots of different colors so she actually helped me find the colors that i like and I was very happy that I got her. I will Go back and ask for her...",5,10.0,stop biagio nail place today got mani pedi done fabulous tiffani gave great foot neck massage realli job shellac manicur realli nice gave lot differ color actual help find color like happi got her go back ask her,38
"I start at 40th st and Shea and I love this hike! This hike is HARD. I call it a sleeper hike, it starts off easy and then before you know it...BAM....it get's a little ridiculous. It will kick your butt but it's totally worth it.",4,7.5,start th st shea love hike hike hard call sleeper hike start easi know itbamit get littl ridiculous kick butt it total worth it,24
"I just had the ice cream. That was when I didn't know where to go for ice cream. It tasted artificial, much like how everything else looked. There was also a weird feeling about the place - too self-consciously ""cute""  suspension of reality - almost as if a crime was imminent like a bad TV show. Looking at the rest of the food was almost disturbing - like school cafeteria food, only worse. Oh well, it discouraged me from eating anything the whole rest of the day.",1,0.0,ice cream didnt know go ice cream tast artificial much like everyth el looked also weird feel place selfconsci cute suspens realiti almost crime immin like bad tv show look rest food almost disturb like school cafeteria food worse oh well discourag eat anyth whole rest day,47
This is one of my favorite places to go in Phoenix!! I love the $5 wine glasses during happy hour!! The bruschetta is out of this world!! The sundae with salted caramel and pretzels is probably one of the BEST things I have ever eaten!! :o),5,10.0,one favorit place go phoenix love  wine glass happi hour bruschetta world sunda salt caramel pretzel probabl one best thing ever eaten o,23
"I'm not a huge sushi person (I know, I know...) but I ordered the tuna with lotus chips and it was very yummy. The server was friendly and the chefs were efficient. The atmosphere is dark and modern though a bit squashed and overwhelming.",3,5.0,im huge sushi person i know know order tuna lotu chip yummy server friendli chef efficient atmospher dark modern though bit squash overwhelming,23
"Right around the corner from my sister's ghetto-tastic shack, this place is bomb. Green chile tostada...hell yes! 

The place is not much to look at from the outside, not much to savor on the inside, but the only people hanging out here are Chandler High kids escaping 4th period. 

You stand in line, you get your paper bag of greasy goodness, you leave with a smile on your face. 

You hope your sister has beer in the fridge when you get back to her place.",4,7.5,right around corner sister ghettotast shack place bomb green chile tostadahel yes place much look outside much savor inside peopl hang chandler high kid escap th period stand line get paper bag greasi goodness leav smile face hope sister beer fridg get back place,44
Another new great place in the Arcadia neighborhood  to grab some great food and select a drink from the extensive beer and wine list.  I think there were over 60 beers and 40 wines to choose from.  I thoroughly enjoyed the tomato and candied pancetta bruschetta and the lamb kefta...yummy!  Definitely check this place out when the weather is cooler and you can enjoy the view of Camelback Mountain from the patio.,4,7.5,anoth new great place arcadia neighborhood grab great food select drink extens beer wine list think  beer  wine choos from thoroughli enjoy tomato candi pancetta bruschetta lamb keftayummy definit check place weather cooler enjoy view camelback mountain patio,38
"everything, everyone has posted about this company is true! great service, friendly people, good pricing! highly recommend!",5,10.0,everything everyon post compani true great service friendli people good pricing highli recommend,13
"Came here for my cousins rehersal dinner and the first dish out was the lobster bisque and it was one of the best things ive ever ate !!!!!! AMAZING, I could have ate 10 more bowls of this and forget the main dish.
the main dish i got some chicken dish that i dont remember that well. I do remember that it was over pasta and the pasta was great, 
I also had 2 GREAT dirty martinis ,",4,7.5,came cousin rehers dinner first dish lobster bisqu one best thing ive ever ate amazing could ate  bowl forget main dish main dish got chicken dish dont rememb well rememb pasta pasta great also  great dirti martini,37
Amazing tour with a guide that was very knowledgeable and entertaining. The prize of the 90 Minute tour was a bit steep but well worth it after the fact. I will be back for the shelter tour.,4,7.5,amaz tour guid knowledg entertaining prize  minut tour bit steep well worth fact back shelter tour,16
"I don't love the coffee at Starbucks, but this place is getting 5 stars for their service! They are quick, ACCURATE, friendly, and they always remember my drink even though I only go there about once a week! Amazing! The staff is great and I thought I should leave them a nice little ""Good Job"" on Yelp!",5,10.0,dont love coffe starbucks place get  star service quick accurate friendly alway rememb drink even though go week amazing staff great thought leav nice littl good job yelp,28
Great dive bar. Great jukebox,3,5.0,great dive bar great jukebox,5
"This place was incredible.  The staff was friendly, not pretentious, and very knowledgable. I don't know what it was called, but our group ordered a tray which was a sampler platter and had a bit of everything on it.  So fresh!  We also tried the sushi with the caviar on top.  Try the sake that they recommend (flown in from Japan - they are the only ones in PHX that carry it).  I'm not a sake fan but I loved it.  That's how good it was.",5,10.0,place incredible staff friendly pretentious knowledgable dont know called group order tray sampler platter bit everyth it fresh also tri sushi caviar top tri sake recommend flown japan one phx carri it im sake fan love it that good wa,40
"Monkey Pants has some of the best burgers in AZ.  Great place for a long lazy lunch over some pitchers.  I think one month my friends and I went there like 20 times for lunch.  Never got sick of it.  It's a dive bar, but it's a cool dive bar.",5,10.0,monkey pant best burger az great place long lazi lunch pitcher think one month friend went like  time lunch never got sick it it dive bar it cool dive bar,30
"We were in town for the weekend and I had a cigar at this lounge.  The cigar prices are reasonable and I didnt mind paying $9 for a La Gloria Wavelle.  Service was good and the atmosphere was nice and chill.  My Wife doesnt smoke cigars and the air circulation was good, no lingering smoke.  We met some nice people and the lounge singers were a plus.  We will come back next time we visit, I wish we had something like this in LA.",5,10.0,town weekend cigar lounge cigar price reason didnt mind pay  la gloria wavelle servic good atmospher nice chill wife doesnt smoke cigar air circul good linger smoke met nice peopl loung singer plus come back next time visit wish someth like la,42
The Corner Bakery was A-Ok! To me it seemed like an elevated Paradise/Panera. I had the Cobb Salad and it was perfectly chopped and dressed.  The desserts looked really good but a little on the pricey side for me to try that day. I'll be back because I really enjoyed the atmosphere and the great customer service.,4,7.5,corner bakeri aok seem like elev paradisepanera cobb salad perfectli chop dressed dessert look realli good littl pricey side tri day ill back realli enjoy atmospher great custom service,29
"The only thing I like about Fez are the pomegranate margaritas. 
Food could be better...",2,2.5,thing like fez pomegran margarita food could better,8
"you want a hotel, what really matters?

Cleanliness!!!  5 stars.
Friendly staff.
And they got the really good cylindrical candies... mmmmm.  

ok, now that we got that out of the way.... some funky odors in one of the hallways and elevator at one end of the hall was out of order our entire stay.

i would come back though.  solid price performer.",3,5.0,want hotel realli matter cleanliness  star friendli staff got realli good cylindr candy mmmmm ok got way funki odor one hallway elev one end hall order entir stay would come back though solid price performer,35
If you like the stuck up Scottsdale vibe this is a good place for you. The food isn't impressive. Nice outdoor seating.,1,0.0,like stuck scottsdal vibe good place you food isnt impressive nice outdoor seating,13
"Well....it is what you can expect from airport food.  Not that great but not terrible.  All I wanted was a simple sandwhich to take on the plane with me.  This airport does not have the best in choices, Starbucks, Wendys, Pizza Hut, etc.  This little place is literally a kiosk in terminal C.  It is good if you are in a rush and just want something cold for later.",3,5.0,wellit expect airport food great terrible want simpl sandwhich take plane me airport best choice starbucks wendys pizza hut etc littl place liter kiosk termin c good rush want someth cold later,32
"Dropped into this joint just wandering around Old Town Scottsdale. Ordered the nachos and had a couple margs. WOW. The staff was friendly, have a great sense of humor (you gotta see the posted picture joke in person), and the food is...beyond good. Having only sampled the uber nacho plate, which is by the way, as big as a platter and slathered in layers of ooey gooey cheesy goodness, I can definitively say: 

Best. 
Ever. 

I give this place the highest marks for ""doesn't suck""",5,10.0,drop joint wander around old town scottsdale order nacho coupl margs wow staff friendly great sen humor you gotta see post pictur joke person food isbeyond good sampl uber nacho plate way big platter slather layer ooey gooey cheesi goodness definit say best ever give place highest mark doesnt suck,50
"My previous review has the real details about what i LOVE about their food!

Update:  Doing mostly take-out here, but at least one of the grumpy girls is more friendly now!  Yesterday when I grabbed our to-go order, she smiled, made small conversation, and did not exude a sullen disposition in any way.  I'm happy for me, I'm happy for her!

Ordered many of our usual items, plus Mongolian beef, which was very tasty. I'm stil partial to the Ginger beef, however.",4,7.5,previou review real detail love food update mostli takeout here least one grumpi girl friendli now yesterday grab togo order smiled made small conversation exud sullen disposit way im happi me im happi her order mani usual item plu mongolian beef tasty im stil partial ginger beef however,48
"This is a very good Chinese restaurant, we have gone there for years. I am shocked by the bad reviews and would suggest you ignore them, this is good Chinese food!",4,7.5,good chine restaurant gone year shock bad review would suggest ignor them good chine food,15
took my wife there last week. it is a really good. the food was great and the decor was really cool and the staff was very helpful and  nice.,4,7.5,took wife last week realli good food great decor realli cool staff help nice,14
"I love the place.  Was a bit hesitant at first but friends recommended it, and it turned out to be quite good.  They even have a few choices for those that aren't into Asian fare.",5,10.0,love place bit hesit first friend recommend it turn quit good even choic arent asian fare,16
"I like the way they treat my dogs, really friendly staff.  They are really good about getting your pet seen in an emergency.  The facility itself is nice.  However, it feels as if they are always trying to sell me something things I don't need. This place is so expensive, we can never get out of there for less than $100.",3,5.0,like way treat dog realli friendli staff realli good get pet seen emergency facil nice however feel alway tri sell someth thing dont need place expensive never get le ,29
"I ate here once while Crudo was still in its Scottsdale location.  And I raved about it and vowed to come back (although the strange location in a salon delayed that return).  Then Crudo disappeared.  And I wondered how a place that fed me one of my best meals in Phoenix could disappear in a town supposedly full of foodies.  Now it has reappeared, and in a better location.  Oh joy.",5,10.0,ate crudo still scottsdal location rave vow come back although strang locat salon delay return crudo disappeared wonder place fed one best meal phoenix could disappear town supposedli full foodie reappeared better location oh joy,35
Jesse and I had a lovely evening out- we had great dishes and the owner was our server as well. He belts out a lovely Italian birthday song while playing the guitar. Very nice,4,7.5,jess love even out great dish owner server well belt love italian birthday song play guitar nice,17
"What a place!  I recently hosted a 25-person family party there, and both the food and service were impeccable.  The staff were all very friendly and accommodating, even with the dozen children we had in the group.  Leslie was the manager and she paid attention to every last detail, helping me to plan the menu and gauge food quantities for that many people.  The restaurant itself was spotless, from the outside patio down to the restrooms.  Thanks for making our family event such a wonderful success.  Everyone left full and happy.  We will definitely be back!!",5,10.0,place recent host person famili parti there food servic impeccable staff friendli accommodating even dozen child group lesli manag paid attent everi last detail help plan menu gaug food quantiti mani people restaur spotless outsid patio restroom thank make famili event wonder success everyon left full happy definit back,49
"2.5, just not enough to give it three. 

Food was just OK and they ran out of ahi tuna by 9pm! 

They have happy hour all night (pretty good specials too) but they close SO early (10pm last call on Sunday)!",2,2.5, enough give three food ok ran ahi tuna pm happi hour night pretti good special too close earli pm last call sunday,22
"Great sushi place!  Ample portions of sashimi.  Unagi is the best I've had.  And don't forget the Tako salad.  The atmosphere is okay.  It's not bad, but not exactly cool.  Of course, if it were 4 miles south (in Old Town Scottsdale), you'd never get a table.",5,10.0,great sushi place ampl portion sashimi unagi best iv had dont forget tako salad atmospher okay it bad exactli cool course  mile south in old town scottsdale youd never get table,31
"My family comes here for cases of citrus every year. The navels and tangerines are delicious, and very reasonably priced. They also have lots of other interesting local products like a variety of honeys.",4,7.5,famili come case citru everi year navel tangerin delicious reason priced also lot interest local product like varieti honey,19
"Careful! You'll get addicted.

Angel Sweet is the best gelato this side of Italy.

The pana cotta and zupa flavors are to die for. Don't settle for just one either, you can get as many flavors as will fit in your cup!",5,10.0,careful youll get addicted angel sweet best gelato side italy pana cotta zupa flavor die for dont settl one either get mani flavor fit cup,25
"Happy hour in Phoenix from 5PM to midnight on Thursdays? Yes, at Devil's! Hey, it's Phoenix; you need to escape the 100 plus degree scorching weather in a casual place. The staff is friendly and the atmosphere is fun and lively. Mind you, my disclaimer about Phoenix qualifies my prior observations of Devil's-it's good for being in Phoenix. Devil's is a fun place to get stupid and have a good time in a casual setting. It does remind of a frat party though.",2,2.5,happi hour phoenix pm midnight thursday yes devil hey it phoenix need escap  plu degre scorch weather casual place staff friendli atmospher fun lively mind you disclaim phoenix qualifi prior observ devilsit good phoenix devil fun place get stupid good time casual setting remind frat parti though,47
"The ice cream floats were great! I know because we ordered 5 of them! 

The food on the other hand was not so good. We ordered the kids cheese pizza, grilled cheese sandwiches, pastrami, pastrami ruben and a cheese burger. The pizza was not edible (too hard). For the price of the entrees, it would have been nice to offer fries or fruit instead of chips or lower the price. 

The staff was attentive and nice!

The atmosphere was great for playing I spy.

Would visit again but only for soda and ice cream floats.",2,2.5,ice cream float great know order  them food hand good order kid chees pizza grill chees sandwich pastrami pastrami ruben chees burger pizza edibl too hard price entree would nice offer fri fruit instead chip lower price staff attent nice atmospher great play spy would visit soda ice cream float,50
It was just okay for me. Pizza was huge which was great for the price. I would eat there again.... But it would not make my top 10 favorites.  It has nothing that stands out to me as a wow factor.  Wings were good.,2,2.5,okay me pizza huge great price would eat again would make top  favorite noth stand wow factor wing good,19
"This Jack in the Box location has the worst service & food that I have found in the Phoenix metro area. Every time I have gone through the drive through there my order has either been wrong or inedible - how hard is it to make a taco without frying it into oblivion? The wait times are consistently more than 5 minutes...I think I will be spending that 5 minutes driving to another location, just to get the correct order & food that is properly prepared.",1,0.0,jack box locat worst servic food found phoenix metro area everi time gone drive order either wrong ined hard make taco without fri oblivion wait time consist  minutesi think spend  minut drive anoth location get correct order food properli prepared,40
"Stopped in with my two yr old granddaughter today after going to the children's museum, got some raised eyebrows when the cool people  saw the kid but whatever I had to have one of there dirty chai's. Good as usual and the kiddo had a cupcake she thoroughly enjoyed on the drive home.",4,7.5,stop two yr old granddaught today go child museum got rais eyebrow cool peopl saw kid whatev one dirti chais good usual kiddo cupcak thoroughli enjoy drive home,28
Got a padi and the tech stopped for a while to eat. then i got a new tech to finish my pedi. my total was different than the quoted price. when paying my total was $25 i hanede them a $50 and they cashier tried to keep all the change for a tip. he refused to give me my change until i told him that is not gon to happen. My feet were so dry afterwards. I DO NOT recommend them,1,0.0,got padi tech stop eat got new tech finish pedi total differ quot price pay total  haned  cashier tri keep chang tip refus give chang told gon happen foot dri afterwards recommend,32
"I love the Lost Leaf for not ony becuase it's cool and hip, but because I am always made to feel welcome and relaxed - as I am not that cool or hip.  The crowd varies, but I like to go on Sunday night and listen to Jazz.  They have had some great bands there and I like how they prefer the local talent - the artists, the musicians, and the bevies.

There is no food, which is really sad.  I wish they had packaged food to nosh on, or took the approach that SideBar did wtih the package nosh (hummus and chips, etc.) Too bad.",4,7.5,love lost leaf oni becuas it cool hip alway made feel welcom relax cool hip crowd varies like go sunday night listen jazz great band like prefer local talent artist musician bevy food realli sad wish packag food nosh on took approach sidebar wtih packag nosh hummu chip etc bad,50
Papago has a great beer selection & awesome food. Try the Orange Blossom!!,5,10.0,papago great beer select awesom food tri orang blossom,9
"One of my lunchtime favorites -- a great bar menu under $10 (steak, shrimp, Italian sausage, etc) with good quality food and prompt service. 

Fun place to have drinks at happy hour. Plus, they have a nice traditional dining room for dinner. 

The bar area is always DARK (how it should be).",4,7.5,one lunchtim favorit great bar menu  steak shrimp italian sausage etc good qualiti food prompt service fun place drink happi hour plus nice tradit dine room dinner bar area alway dark how be,33
"YUM!

I can never remember what it is, but order the salad thing on pita bread!  It will change your life!  My co-workers and I would always go in here and share one of those and then we'd each get a slice of pizza.  Perfect amount of food- low prices- never too/disgustingly full.  Their bilinis are wonderful as well!",5,10.0,yum never rememb is order salad thing pita bread chang life cowork would alway go share one wed get slice pizza perfect amount food low price never toodisgustingli full bilini wonder well,32
"Yelpers,  have a question. If menus and prices vary by location, help this CA transplant figure out the best ones to try! Thanks, I've heard such good things about Sonic but have only been to the Anaheim and Hemet, CA ones while visiting.",5,10.0,yelpers question menu price vari location help ca transplant figur best one try thanks iv heard good thing sonic anaheim hemet ca one visiting,24
"Descent food, of course it's not autentico. Free chips, salsa, & wifi though.",3,5.0,descent food cours it autentico free chip salsa wifi though,10
"Scale of 1-10 (single visit):
8 Food
9 Service
9 Atmosphere
7 Value",4,7.5,scale  singl visit  food  servic  atmospher  valu,7
"While throwing a small get together, we were able to have a back patio with a buffet style table set up with some pretty tasty appetizers.  The chicken sqewers were delicious and smoked salmon was also tasty but something seemed to lack.  At the end of the day it was good and I wouldn't hesitate to go back, but nothing to make me a raving fan.",3,5.0,throw small get together abl back patio buffet style tabl set pretti tasti appetizer chicken sqewer delici smoke salmon also tasti someth seem lack end day good wouldnt hesit go back noth make rave fan,35
It's like Paradise Bakery but with a more diverse and far better menu.,4,7.5,it like paradis bakeri diver far better menu,8
"I loved this casual dining experience at the gorgeous Phoenician.  I stopped in for happy hour with some friends, and we had a great time.  We sat in front of the fireplace and sipped beers over appetizers.  The location alone is worth going for, but the food was good and service was even better.",5,10.0,love casual dine experi gorgeou phoenician stop happi hour friend great time sat front fireplac sip beer appetizer locat alon worth go for food good servic even better,28
"luckily, i've only had to take my truck in for service once and had no issues with service or quality. it is always expensive to have something auto related repaired....wish i would've paid more attention during shop class in high school, but oh well...i can't be good at EVERYTHING.

friendly staff. they called a few times to make sure i wanted them to proceed with repairs and had my truck done in a few hours.",4,7.5,luckily iv take truck servic issu servic quality alway expens someth auto relat repairedwish wouldv paid attent shop class high school oh welli cant good everything friendli staff call time make sure want proceed repair truck done hour,38
AMAZING!  This is the first time I ever got what I ordered!!!!!  140 degree grande peppermint latte!  WOWZA!  YIPPEE!  Though the staff did not seemed thrilled to be there or had any sort of personality-it didn't matter because my drink was perfect:)  FYI-this was the location outside of the B security check-point.,4,7.5,amazing first time ever got ordered  degre grand peppermint latte wowza yippee though staff seem thrill sort personalityit didnt matter drink perfect fyithi locat outsid b secur checkpoint,28
"This place has the best wraps I've ever had.  The smoothie's are good as well, but I go here because of the wraps.",5,10.0,place best wrap iv ever had smoothie good well go wrap,11
"I stopped by a Friday morning a few months past and have been meaning to write a review. I've had donuts since then from other donut shops, but none compare to Bosa. The price and quality at Bosa are far superior to all others. You can't go wrong with the donut holes.",5,10.0,stop friday morn month past mean write review iv donut sinc donut shop none compar bosa price qualiti bosa far superior others cant go wrong donut hole,27
Amazing place wish i lived in Phx so i could have this EVERYDAY!,5,10.0,amaz place wish live phx could everyday,7
One of my favorite places to eat if I'm looking for cheap and fast :),5,10.0,one favorit place eat im look cheap fast,8
"Stopped in and tried both their sweet potato fries and zucchini fries. Much fonder of the sweet potatoes & the others were a little heavy?!   Like previous posts I was not to fond of their dipping sauces either.

Loved their freshly prepared lemonade and the great outside spot to people watch!",3,5.0,stop tri sweet potato fri zucchini fry much fonder sweet potato other littl heavy like previou post fond dip sauc either love freshli prepar lemonad great outsid spot peopl watch,30
"I love this place. Just to hang out on a Summer day on the patio and have a beer is like...the perfect day. 

The food is awesome. The Kilt Lifter is tasty and thirst quenching. 

The area is definitely lucky to have such a place.",5,10.0,love place hang summer day patio beer liketh perfect day food awesome kilt lifter tasti thirst quenching area definit lucki place,21
"Once again, THE TROUGH SLURPERS offer far too many stars to this mundane eatery, proving again that they are truly CANAILLE of the first order.:
Slow indifferent service
Mediocre food
The kind of wine that patrons of kokopelli swill with delight, calling it ambrosia when it's actually dishwater.
But..as with Kokopelli, it keeps the shit eaters out of the better restaurants! So, I say to you canaille..flock, flock there with your disruptive screaming children and your leathery palates.",1,0.0,again trough slurper offer far mani star mundan eatery prove truli canail first order slow indiffer servic mediocr food kind wine patron kokopelli swill delight call ambrosia it actual dishwater buta kokopelli keep shit eater better restaurant so say canailleflock flock disrupt scream child leatheri palate,46
Yes... I love Eegee's... I have to admit it could be a bit of a problem for me as I drove from Chandler to Casa Grande just for an eegee and sammich in the worse rush hour traffic. If that isn't love I don't know what is because we all know Arizona drivers are ... well you know. I always get the pina colda mixed with lemon eegee and a grinder / or turkey sub and don't forget the ranch fries! The one is Casa Grande is new and clean not that I can say the same for the ones in Tucson.,5,10.0,yes love eegees admit could bit problem drove chandler casa grand eege sammich wors rush hour traffic isnt love dont know know arizona driver well know alway get pina colda mix lemon eege grinder turkey sub dont forget ranch fry one casa grand new clean say one tucson,48
Unbelievable ahi. Service was adequate.  Mood and ambiance was good. Background music was nice. Will go again sometime.,4,7.5,unbeliev ahi servic adequate mood ambianc good background music nice go sometime,12
Super friendly staff and smoothies come out so fast...delicious too!,4,7.5,super friendli staff smoothi come fastdelici too,7
the broth was too sweet for me. perhaps just personal taste though.,2,2.5,broth sweet me perhap person tast though,7
"This is a beautiful store. Its huge and spacious. The workers are friendly and helpful. You can't go wrong with cute, nerdy boys who help you fix things! :]",4,7.5,beauti store huge spacious worker friendli helpful cant go wrong cute nerdi boy help fix thing,16
"Totally worth the drive from Scottsdale. The food is delicious, and is not pre-packaged, such a nice change for a coffee joint. Support local business, Starbucks has nothing on Lux; other than a million locations.",5,10.0,total worth drive scottsdale food delicious prepackaged nice chang coffe joint support local business starbuck noth lux million location,19
"Perfect patio for a Saturday!

This place walks a fine line between being too snooty and being just plain awesome.  I've had a couple of experiences here, and overall the food is really tasty.  I'm a fan of the gnocchi, even though it's a little different than traditional gnocchi.
The location is great, as long as there isn't a douche bag convention going on, and as long as the bartenders and servers keep their positive attitudes, I think this place will be around for a while. Thanks!",4,7.5,perfect patio saturday place walk fine line snooti plain awesome iv coupl experi here overal food realli tasty im fan gnocchi even though it littl differ tradit gnocchi locat great long isnt douch bag convent go on long bartend server keep posit attitude think place around while thanks,48
"Met some friends here for happy hour the other day.  This is the old El Paso BBQ and they did a knockout job with the remodel. Great feel and warm colors to the place now.

I had a couple of Coronas and some chips and guacamole.  The regular menu looks better than the happy hour menu and think I'll try them the next time for lunch or dinner.",3,5.0,met friend happi hour day old el paso bbq knockout job remodel great feel warm color place now coupl corona chip guacamole regular menu look better happi hour menu think ill tri next time lunch dinner,36
"5 stars for bein the only bar in Phoenix where I was first scared to order a drink. but- thats why I love this place. That, and its near the Trunk Space.",5,10.0, star bein bar phoenix first scare order drink but that love place that near trunk space,16
"I was in the middle of a dilemma and needed proof of something faxed to me right away and stopped in here and got what i needed within just five minutes and was outta there and back to what i needed to take care of.  The price for two piece of paper for the fax was almost $3, which while is not the cheapest considering you can get it for free at home, but beggars cannot be choosers and was happy to pay it.",5,10.0,middl dilemma need proof someth fax right away stop got need within five minut outta back need take care of price two piec paper fax almost  cheapest consid get free home beggar cannot chooser happi pay it,37
"This place is excellent.  Hands down, the best tacos I've had.  Fresh and flavorful meats and great salsas.  I see people raving about some of the ""salsa bars"" at all of the 'berto's and such but the salsa there is like water compared to what Tacos Atoyac has to offer.  They care about what they are serving and take pride in their craft.

If you like the style of food here you must try Sonora Mesquite Grill on 46th Street and Thomas.",5,10.0,place excellent hand down best taco iv had fresh flavor meat great salsa see peopl rave salsa bar berto salsa like water compar taco atoyac offer care serv take pride craft like style food must tri sonora mesquit grill th street thomas,42
"These guys are still delivering consistenly good, fresh food.  It's a great little neighborhood place, good food, friendly owners.  Just a really good place to go for a nice meal out - nothing fancy.  Clean restrooms - always.

Good limoncello after dinner - always a hit!",4,7.5,guy still deliv consistenli good fresh food it great littl neighborhood place good food friendli owner realli good place go nice meal noth fancy clean restroom always good limoncello dinner alway hit,32
"Great prices and service. The delivery process could be improved but for the price and peace of mind with the Costco warranty process you cant go wrong. 

High quality furniture and very low prices.",5,10.0,great price service deliveri process could improv price peac mind costco warranti process cant go wrong high qualiti furnitur low price,21
"I have been going here for years.  The staff is always very pleasant, the place is nice and clean and they offer a variety of services.  I also like the $5 kids haircuts on certain days.  Overall, a top notch establishment.",5,10.0,go year staff alway pleasant place nice clean offer varieti service also like  kid haircut certain day overall top notch establishment,21
