Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
holiday movie suppose gift somebody unwrap early take good stuff leave behind crap literally,0.027778,0.27778,holiday movi suppos gift somebodi unwrap earli take good stuff leav behind crap liter,14
example type project robert redford lab will lend imprimatur perhaps time rethink independent film,0.22222,2.2222,exampl type project robert redford lab lend imprimatur perhap time rethink independ film,13
cinema pledge allegiance cagney lacey,0.097222,0.9722200000000001,cinema pledg allegi cagney lacey,5
satire smug kind let audience completely hook,0.36111,3.6111,satir smug kind let audienc complet hook,7
danish idea good time prospective tourists might want consider different destination jolly country embroil bloody civil war perhaps,0.18056,1.8056,danish idea good time prospect tourist might want consid differ destin jolli countri embroil bloodi civil war perhap,18
resurrection halloween franchise would better dead,0.16667,1.6667,resurrect halloween franchis would better dead,6
movie belong sorority would call beta alpha delta,0.5,5.0,movi belong soror would call beta alpha delta,8
movie leave cool also leave intriguingly contemplative,0.55556,5.5556,movi leav cool also leav intriguingli contempl,7
movie book would wait see happen next,0.90625,9.0625,movi book would wait see happen next,7
silly little cartoon inspire kid grow greedy bastards power,0.51389,5.1389,silli littl cartoon inspir kid grow greedi bastard power,9
story must tell retell indeed must the grey zone laud find new ingenious angle,0.40278,4.0278,stori must tell retel inde must grey zone laud find new ingeni angl,13
villainous vampires cup blood blade definitely cut rest,0.70833,7.0833,villain vampir cup blood blade definit cut rest,8
slap protagonist genevieve leplouff french option slap creators clueless inept,0.13889,1.3889,slap protagonist geneviev leplouff french option slap creator clueless inept,10
demand standard quality art choose deserve trash get,0.27778,2.7778,demand standard qualiti art choos deserv trash get,8
crocodile hunter fan enjoy least real portion film look story bother,0.34722,3.4722,crocodil hunter fan enjoy least real portion film look stori bother,11
crocodile hunter fan enjoy least real portion film,0.55556,5.5556,crocodil hunter fan enjoy least real portion film,8
happy listen movies watch slow parade human frailty fascinate right film,0.63889,6.3889,happi listen movi watch slow parad human frailti fascin right film,11
burn wonderful life marathons bore christmas carol might movie look depend well flatulence gag fit holiday concept,0.55556,5.5556,burn wonder life marathon bore christma carol might movi look depend well flatul gag fit holiday concept,17
content clever manage good time doles piece famous director life eisenstein deliver,0.66667,6.6667,content clever manag good time dole piec famou director life eisenstein deliv,12
hard raunchy college humor ticket right,0.69444,6.9444,hard raunchi colleg humor ticket right,6
mood melodrama narrate talk fish movie,0.54167,5.4167,mood melodrama narrat talk fish movi,6
like sucker good old fashion romance someone shamelessly love eat mostly martha offer perfect ingredients satisfy appetite,0.93056,9.3056,like sucker good old fashion romanc someon shamelessli love eat mostli martha offer perfect ingredi satisfi appetit,17
look smart nuanced look sade might happen picpus sade film,0.61111,6.1111,look smart nuanc look sade might happen picpu sade film,10
look intelligent movie release pen anger enough ticket need,0.79167,7.9167,look intellig movi releas pen anger enough ticket need,9
look comedy serve better look elsewhere,0.18056,1.8056,look comedi serv better look elsewher,6
look something new hop something entertain luck,0.81944,8.1944,look someth new hop someth entertain luck,7
look rekindle magic first film need stronger stomach,0.26389,2.6389,look rekindl magic first film need stronger stomach,8
prepubescent girl laugh britney spears debut whenever impatiently squint watch,0.29167,2.9166999999999996,prepubesc girl laugh britney spear debut whenev impati squint watch,10
fan adventues steve terri avoid like dread king brown snake,0.20833,2.0833,fan adventu steve terri avoid like dread king brown snake,10
fan adventues steve terri avoid like dread king brown snake personally,0.069444,0.6944400000000001,fan adventu steve terri avoid like dread king brown snake person,11
fan adventues steve terri avoid like dread king brown snake personally rather watch animal planet,0.15278,1.5278,fan adventu steve terri avoid like dread king brown snake person rather watch anim planet,15
pokemon franchise fourth animate movie four years convert even keep eye open but fan fun meet pokemon call celebi,0.33333,3.3333000000000004,pokemon franchis fourth anim movi four year convert even keep eye open fan fun meet pokemon call celebi,18
target demographic movie one long slog,0.34722,3.4722,target demograph movi one long slog,6
totally weirded notion cinema spectacle quitting hit home disorient force,0.44444,4.4444,total weird notion cinema spectacl quit hit home disori forc,10
driver license able find better entertainment,0.16667,1.6667,driver licens abl find better entertain,6
part target audience cheer otherwise maybe,0.63889,6.3889,part target audienc cheer otherwis mayb,6
really rent interest discretion entertainment choices interest anne geddes john grisham thomas kincaid,0.43056,4.3056,realli rent interest discret entertain choic interest ann gedd john grisham thoma kincaid,13
kind parent enjoy intentionally introduce kid film cause load irreparable damage years years costly analysis could never fix one word decasia,0.055556,0.55556,kind parent enjoy intent introduc kid film caus load irrepar damag year year costli analysi could never fix one word decasia,21
will fun feel cheat high infidelity unfaithful,0.65278,6.5278,fun feel cheat high infidel unfaith,6
ever entertain notion title film imply sex with strangers actually show may put idea forever,0.38889,3.8889,ever entertain notion titl film impli sex stranger actual show may put idea forev,14
get house full tot worry video long grow wait till,0.34722,3.4722,get hous full tot worri video long grow wait till,10
grow tire go man go several movies take heart this best star trek movie long time,0.83333,8.3333,grow tire go man go sever movi take heart best star trek movi long time,15
adore the full monty resoundingly die see old thing tire old set keep reasonably entertain,0.5,5.0,ador full monti resoundingli die see old thing tire old set keep reason entertain,14
splatter movies probably reasonably good time the salton sea,0.66667,6.6667,splatter movi probabl reason good time salton sea,8
believe make real deal leftover enron stock double value week friday,0.26389,2.6389,believ make real deal leftov enron stock doubl valu week friday,11
get past taboo subject matter well worth time,0.80556,8.0556,get past taboo subject matter well worth time,8
keep eye open amid blood gore see del toro bring unexpected gravity blade,0.45833,4.5833,keep eye open amid blood gore see del toro bring unexpect graviti blade,13
push slow spot reward fine act,0.66667,6.6667,push slow spot reward fine act,6
read subtitle opera sing italian like masterpiece theatre type costume enjoy movie,0.69444,6.9444,read subtitl opera sing italian like masterpiec theatr type costum enjoy movi,12
stomach rough content worth check performances alone,0.70833,7.0833,stomach rough content worth check perform alon,7
swallow absurdities crudities lagaan really enormously good fun,0.66667,6.6667,swallow absurd cruditi lagaan realli enorm good fun,8
tolerate cliches film trade sweet home alabama divert manner jeff foxworthy act,0.5,5.0,toler clich film trade sweet home alabama divert manner jeff foxworthi act,12
collect moments coherent dialogue still would add time require boil four minute egg,0.31944,3.1944,collect moment coher dialogu still would add time requir boil four minut egg,13
come family eat meddle argue laugh kibbitz fight together see delightful comedy,0.79167,7.9167,come famili eat meddl argu laugh kibbitz fight togeth see delight comedi,12
flee might seduce laugh flee,0.29167,2.9166999999999996,flee might seduc laugh flee,5
enjoy thoughtful comedies interest conflict character one,0.91667,9.1667,enjoy thought comedi interest conflict charact one,7
ever wonder would like smack middle war zone arm nothing camera documentary take,0.94444,9.4444,ever wonder would like smack middl war zone arm noth camera documentari take,13
theater expect scary chiller might soon look sign,0.27778,2.7778,theater expect scari chiller might soon look sign,8
theater expect scary chiller might soon look sign exit sign,0.29167,2.9166999999999996,theater expect scari chiller might soon look sign exit sign,10
grow scooby love movie matthew lillard bear play shaggy,0.80556,8.0556,grow scoobi love movi matthew lillard bear play shaggi,9
like extreme film hint humor triple mark spot,0.79167,7.9167,like extrem film hint humor tripl mark spot,8
like blood gut crazy beasts stalk men gun though likely enjoy monster,0.79167,7.9167,like blood gut crazi beast stalk men gun though like enjoy monster,12
like quirky odd movies ironic fun one,0.84722,8.472199999999999,like quirki odd movi iron fun one,7
like movies notting hill four weddings and funeral bridget jones diary high fidelity want miss about boy,0.83333,8.3333,like movi not hill four wed funer bridget jone diari high fidel want miss boy,15
love motown music love documentary,0.84722,8.472199999999999,love motown music love documentari,5
love read poetry mean check,0.77778,7.7778,love read poetri mean check,5
love music hard imagine fun watch documentary,0.86111,8.6111,love music hard imagin fun watch documentari,7
pitch expectations time low could worse oddly cheerful particularly funny farce,0.375,3.75,pitch expect time low could wors oddli cheer particularli funni farc,11
really want understand story really far better serve source material,0.16667,1.6667,realli want understand stori realli far better serv sourc materi,10
recognize zeus dog snatch make wish home watch movie instead theater watch one,0.27778,2.7778,recogn zeu dog snatch make wish home watch movi instead theater watch one,13
saw benigni pinocchio public park grab kid run probably call police,0.26389,2.6389,saw benigni pinocchio public park grab kid run probabl call polic,11
saw probably turn convince already see movie,0.27778,2.7778,saw probabl turn convinc alreadi see movi,7
sometimes like movies fun wasabi good place start,0.73611,7.3611,sometim like movi fun wasabi good place start,8
think riot see rob schneider young woman clothe enjoy the hot chick,0.68056,6.8056,think riot see rob schneider young woman cloth enjoy hot chick,11
think jennifer lopez show poor judgment plan marry ben affleck wait till see maid manhattan,0.23611,2.3611,think jennif lopez show poor judgment plan marri ben affleck wait till see maid manhattan,15
think tom hanks ordinary star wait see eight stories tall,0.59722,5.9722,think tom hank ordinari star wait see eight stori tall,10
value time money find escape clause avoid see trite predictable rehash,0.16667,1.6667,valu time money find escap claus avoid see trite predict rehash,11
want movie time trip version far smoother ride,0.27778,2.7778,want movi time trip version far smoother ride,8
want see train wreck look away look,0.43056,4.3056,want see train wreck look away look,7
sense dull slasher film gorefests connoisseur psychological horror ticket,0.79167,7.9167,sen dull slasher film gorefest connoisseur psycholog horror ticket,9
gnorant fairies still quite bad way spend hour two,0.73611,7.3611,gnorant fairi still quit bad way spend hour two,9
lliterate often inert action thriller,0.31944,3.1944,lliter often inert action thriller,5
magine kevin smith blasphemous bad boy suburban jersey strip budget sense humor the result might look like vulgar,0.33333,3.3333000000000004,magin kevin smith blasphem bad boy suburban jersey strip budget sen humor result might look like vulgar,17
magine henry the gift magi relocate scuzzy underbelly nyc drug scene merry friggin christmas,0.44444,4.4444,magin henri gift magi reloc scuzzi underbelli nyc drug scene merri friggin christma,13
magine henry the gift magi relocate scuzzy underbelly nyc drug scene,0.18056,1.8056,magin henri gift magi reloc scuzzi underbelli nyc drug scene,10
magine really bad community theater production west side story,0.23611,2.3611,magin realli bad commun theater product west side stori,9
mamura lively enjoyable cultural mix,0.80556,8.0556,mamura live enjoy cultur mix,5
mamura say warm water under red bridge poem endure strengths women,0.61111,6.1111,mamura say warm water red bridg poem endur strength woman,10
mamura say warm water under red bridge poem endure strengths women may also best sex comedy environmental pollution ever make,0.90278,9.027800000000001,mamura say warm water red bridg poem endur strength woman may also best sex comedi environment pollut ever make,19
mamura squirt screen warm water under red bridge,0.56944,5.6944,mamura squirt screen warm water red bridg,7
mmersing endlessly inventive fiercely competitive world djs,0.58333,5.8333,mmers endlessli invent fierc competit world dj,7
mmersing endlessly inventive fiercely competitive world djs project sensational revelatory even scratch make itch,0.70833,7.0833,mmers endlessli invent fierc competit world dj project sensat revelatori even scratch make itch,14
mpeccably film sexually charge ultimately lack substance mention drag leaden close act,0.40278,4.0278,mpeccabl film sexual charg ultim lack substanc mention drag leaden close act,12
mperfect yes also intrigue honorable worthwhile addition distinguish film legacy,0.76389,7.6389,mperfect ye also intrigu honor worthwhil addit distinguish film legaci,10
mpossible may sound film heart even embrace monty accept nasty behavior severe flaw part human condition,0.80556,8.0556,mpossibl may sound film heart even embrac monti accept nasti behavior sever flaw part human condit,16
mposter make better short story film,0.29167,2.9166999999999996,mposter make better short stori film,6
mpostor think thing character except run dark tunnel fight various anonymous attackers evade elaborate surveillance technologies,0.31944,3.1944,mpostor think thing charact except run dark tunnel fight variou anonym attack evad elabor surveil technolog,16
mpostor much template despite remarkably strong cast,0.44444,4.4444,mpostor much templat despit remark strong cast,7
mpostor step director gary fleder,0.26389,2.6389,mpostor step director gari fleder,5
mpostor close get imitation movie,0.40278,4.0278,mpostor close get imit movi,5
mpostor open today theater near,0.5,5.0,mpostor open today theater near,5
screenwriter charlie kaufman world truth fiction equally strange take,0.41667,4.1667,screenwrit charli kaufman world truth fiction equal strang take,9
adobo ethnicity spice heart universal concern,0.65278,6.5278,adobo ethnic spice heart univers concern,6
alcatraz cinematic corpse never spring life,0.16667,1.6667,alcatraz cinemat corp never spring life,6
auteil less dramatic equally incisive performance,0.61111,6.1111,auteil le dramat equal incis perform,6
auteil less dramatic equally incisive performance charismatic charmer likely seduce conquer,0.66667,6.6667,auteil le dramat equal incis perform charismat charmer like seduc conquer,11
cannes offer rare insight structure relationships,0.69444,6.9444,cann offer rare insight structur relationship,6
death smoochy get williams usual tear smile sneer bile spectacle nothing short refresh,0.65278,6.5278,death smoochi get william usual tear smile sneer bile spectacl noth short refresh,13
full stale fact vibrant scene one use clip brian palma scarface,0.16667,1.6667,full stale fact vibrant scene one use clip brian palma scarfac,11
full stale fact vibrant scene one use clip brian palma scarface that cheat,0.13889,1.3889,full stale fact vibrant scene one use clip brian palma scarfac cheat,12
imax short wonderful big screen,0.84722,8.472199999999999,imax short wonder big screen,5
moonlight mile one get shut hug cycle,0.59722,5.9722,moonlight mile one get shut hug cycl,7
praise love sort bitter old crank sit behind light meter harangue suppose injustices artistic,0.22222,2.2222,prais love sort bitter old crank sit behind light meter harangu suppos injustic artist,14
praise love remain ponderous pretentious endeavor unfocused tediously exasperate,0.097222,0.9722200000000001,prais love remain ponder pretenti endeavor unfocus tedious exasper,9
the new guy even bull get recycle,0.25,2.5,new guy even bull get recycl,6
the pianist polanski say long want say confront root preoccupations obsessions allow nothing get way,0.72222,7.2222,pianist polanski say long want say confront root preoccup ob allow noth get way,14
xxx diesel rare creature action hero table manners one prove elegance tattoo deep,0.81944,8.1944,xxx diesel rare creatur action hero tabl manner one prove eleg tattoo deep,13
big corner office hell satan throw hand surrender fire people decide screen the master disguise,0.069444,0.6944400000000001,big corner offic hell satan throw hand surrend fire peopl decid screen master disguis,14
movie full surprise biggest secret ballot comedy gentle bite,0.69444,6.9444,movi full surpris biggest secret ballot comedi gentl bite,9
normal screen process bromides would barely enough sustain interstitial program discovery channel,0.19444,1.9444,normal screen process bromid would bare enough sustain interstiti program discoveri channel,12
normal screen process bromides would barely enough sustain interstitial program discovery channel but imax disappear vertiginous perspectives open photography,0.59722,5.9722,normal screen process bromid would bare enough sustain interstiti program discoveri channel imax disappear vertigin perspect open photographi,18
strange way egoyan do much work hard movie,0.30556,3.0556,strang way egoyan much work hard movi,7
summer clone harvard man something rare rivet wild ride rely special effect,0.81944,8.1944,summer clone harvard man someth rare rivet wild ride reli special effect,12
summer overrun movies dominate cgi alien super heroes revigorates mind see feature concentrate people project script character hold sway,0.88889,8.8889,summer overrun movi domin cgi alien super hero revigor mind see featur concentr peopl project script charact hold sway,19
way film feel like breath fresh air allow,0.80556,8.0556,way film feel like breath fresh air allow,8
addition hoffman powerful act clinic,0.69444,6.9444,addit hoffman power act clinic,5
addition hoffman powerful act clinic rare drama offer thoughtful reward glimpse sort heartache everyone felt feel someday,0.88889,8.8889,addit hoffman power act clinic rare drama offer thought reward glimps sort heartach everyon felt feel someday,17
addition glue edge seat changing lanes also film freshness imagination insight,0.94444,9.4444,addit glue edg seat chang lane also film fresh imagin insight,11
addition score high originality plot,0.84722,8.472199999999999,addit score high origin plot,5
addition score high originality plot put together familiar theme family forgiveness love new way lilo stitch number assets commend movie audiences innocent jade,0.81944,8.1944,addit score high origin plot put togeth familiar theme famili forgiv love new way lilo stitch number asset commend movi audienc innoc jade,23
addition sport one worst title recent cinematic history,0.11111,1.1111,addit sport one worst titl recent cinemat histori,8
addition overcook direction actors reach back row,0.31944,3.1944,addit overcook direct actor reach back row,7
addition overcook direction actors reach back row dialogue sound like horrible poetry,0.16667,1.6667,addit overcook direct actor reach back row dialogu sound like horribl poetri,12
fairness must report children vary age audience never cough fidget romp aisles bathroom break,0.70833,7.0833,fair must report child vari age audienc never cough fidget romp aisl bathroom break,14
annals movies film odd inexplicable unpleasant,0.13889,1.3889,annal movi film odd inexplic unpleas,6
effort suspect offend appear either serious lighthearted offend,0.23611,2.3611,effort suspect offend appear either seriou lightheart offend,8
era big star high production value standard procedure narc strike defiantly retro chord outpace contemporaries dare verve,0.79167,7.9167,era big star high product valu standard procedur narc strike defiantli retro chord outpac contemporari dare verv,17
case would recommend big bad love winger fan miss since forget paris,0.38889,3.8889,case would recommend big bad love winger fan miss sinc forget pari,12
case would recommend big bad love winger fan miss since forget paris but even recommend wait dvd skip straight scenes,0.56944,5.6944,case would recommend big bad love winger fan miss sinc forget pari even recommend wait dvd skip straight scene,19
emotional seesaw hard figure depth two literary figure even time live,0.31944,3.1944,emot seesaw hard figur depth two literari figur even time live,11
emotional seesaw hard figure depth two literary figure even time live but fascinate recklessness,0.86111,8.6111,emot seesaw hard figur depth two literari figur even time live fascin reckless,13
icy stunt actors spout hilarious dialogue follow dream let mountain tell,0.75,7.5,ici stunt actor spout hilari dialogu follow dream let mountain tell,11
write cut achieve kind dramatic unity transport,0.56944,5.6944,write cut achiev kind dramat uniti transport,7
write cut achieve kind dramatic unity transport you end simply admire bite performance,0.25,2.5,write cut achiev kind dramat uniti transport end simpli admir bite perform,12
capture understate comedic agony genteel yet decadent aristocracy longer pay bill,0.5,5.0,captur underst comed agoni genteel yet decad aristocraci longer pay bill,11
capture understate comedic agony genteel yet decadent aristocracy longer pay bill film could well address turn century,0.59722,5.9722,captur underst comed agoni genteel yet decad aristocraci longer pay bill film could well address turn centuri,17
comparison earlier film seem disappointingly thin slice london life despite title amount surprisingly little,0.18056,1.8056,comparison earlier film seem disappointingli thin slice london life despit titl amount surprisingli littl,14
exactly minutes pass slowly sit naked igloo,0.097222,0.9722200000000001,exactli minut pas slowli sit nake igloo,7
exactly minutes pass slowly sit naked igloo formula sink quirky jerky utter turkey,0.097222,0.9722200000000001,exactli minut pas slowli sit nake igloo formula sink quirki jerki utter turkey,13
execution clever idea far less funny original killers from space,0.23611,2.3611,execut clever idea far le funni origin killer space,9
fact even seem like try,0.19444,1.9444,fact even seem like tri,5
gleefully thumpingly hyperbolic term cover every cliche compendium crass jade movie type phony baloney movie biz,0.48611,4.8610999999999995,gleefulli thumpingli hyperbol term cover everi clich compendium crass jade movi type phoni baloney movi biz,16
debut director washington sure hand,0.83333,8.3333,debut director washington sure hand,5
debut director washington sure hand his work actors particularly impressive,0.79167,7.9167,debut director washington sure hand work actor particularli impress,9
debut film director denzel washington deliver lean engage work,0.875,8.75,debut film director denzel washington deliv lean engag work,9
determination lighten heavy subject matter silberling also certain extent trivialize movie many nervous gag pratfalls,0.40278,4.0278,determin lighten heavi subject matter silberl also certain extent trivial movi mani nervou gag pratfal,15
first stab form jacquot take slightly anarchic approach work sporadically,0.43056,4.3056,first stab form jacquot take slightli anarch approach work sporad,10
role observer scene lawrence sound whiny defensive experience make bitter less mature,0.29167,2.9166999999999996,role observ scene lawrenc sound whini defens experi make bitter le matur,12
best moments resemble bad high school production grease without benefit song,0.11111,1.1111,best moment resembl bad high school product greas without benefit song,11
dry forceful way deliver message jiri menzel closely watched trains danis tanovic man land,0.68056,6.8056,dri forc way deliv messag jiri menzel close watch train dani tanov man land,14
flounder way get just like igby,0.5,5.0,flounder way get like igbi,5
way joshua blasphemous nonsensical luis film without latter attendant intelligence poetry passion genius,0.11111,1.1111,way joshua blasphem nonsens lui film without latter attend intellig poetri passion geniu,13
rag cheap unassuming way movie work,0.65278,6.5278,rag cheap unassum way movi work,6
treatment dehumanize process unemployment time out offer exploration accurate anything see american film,0.79167,7.9167,treatment dehuman process unemploy time offer explor accur anyth see american film,12
understand often funny way tell story whose restatement validate change composition nation,0.66667,6.6667,understand often funni way tell stori whose restat valid chang composit nation,12
many ways reminiscent unforgiven also utilize scintillate force actors draw menace sparse dialogue,0.56944,5.6944,mani way reminisc unforgiven also util scintil forc actor draw menac spar dialogu,13
humble opinion praise love lack even fragment charm find almost previous work,0.041667,0.41667000000000004,humbl opinion prais love lack even fragment charm find almost previou work,12
word another sport study yet one make heart lack outright newness plus like already mention robert duvall,0.77778,7.7778,word anoth sport studi yet one make heart lack outright new plu like alreadi mention robert duval,17
paint unabashedly romantic picture nation whose songs spring directly live people,0.75,7.5,paint unabashedli romant pictur nation whose song spring directli live peopl,11
paint unabashedly romantic picture nation whose songs spring directly live people movie exalt marxian dream honest work folk little show labor live harmoniously join song,0.75,7.5,paint unabashedli romant pictur nation whose song spring directli live peopl movi exalt marxian dream honest work folk littl show labor live harmoni join song,25
question election process payami graphically illustrate problems fledgling democracies also strength sense freedom iranian people already possess without access ballot box,0.70833,7.0833,question elect process payami graphic illustr problem fledgl democraci also strength sen freedom iranian peopl alreadi posse without access ballot box,21
scope ambition accomplishment children century take kurys career whole new level,0.86111,8.6111,scope ambit accomplish child centuri take kuri career whole new level,11
ways lagaan quintessential bollywood except much much better,0.91667,9.1667,way lagaan quintessenti bollywood except much much better,8
spite good housekeeping unsavory character wwf mentality,0.26389,2.6389,spite good housekeep unsavori charact wwf mental,7
spite good housekeeping unsavory character wwf mentality white trash war roses surprisingly engage film,0.55556,5.5556,spite good housekeep unsavori charact wwf mental white trash war rose surprisingli engag film,14
spite feature script credit fewer five writers,0.63889,6.3889,spite featur script credit fewer five writer,7
spite feature script credit fewer five writers apparently nobody bother check twice,0.22222,2.2222,spite featur script credit fewer five writer appar nobodi bother check twice,12
term execution movie careless unfocused,0.19444,1.9444,term execut movi careless unfocus,5
set struggle simply ludicrous borderline insult,0.18056,1.8056,set struggl simpli ludicr borderlin insult,6
affable maid manhattan jennifer lopez aggressive sincere attempt take movies storm diva shrewdly surround company strictly players,0.65278,6.5278,affabl maid manhattan jennif lopez aggress sincer attempt take movi storm diva shrewdli surround compani strictli player,17
director cut film love song movies also fully example kind lush movie experience rhapsodize,0.69444,6.9444,director cut film love song movi also fulli exampl kind lush movi experi rhapsod,14
disturbingly involve family dysfunctional drama how killed father french director anne fontaine deliver inspire portrait angst emotional blockage accompany human condition,0.63889,6.3889,disturbingli involv famili dysfunct drama kill father french director ann fontain deliv inspir portrait angst emot blockag accompani human condit,20
end love one film want like much actually,0.30556,3.0556,end love one film want like much actual,8
end love one film want like much actually sometimes enough,0.72222,7.2222,end love one film want like much actual sometim enough,10
end the weight water come resemble kind twaddle expect see showtime red shoe diaries,0.34722,3.4722,end weight water come resembl kind twaddl expect see showtim red shoe diari,13
end tuck everlasting fall victim everlasting conundrum experience every human ever live much little time,0.38889,3.8889,end tuck everlast fall victim everlast conundrum experi everi human ever live much littl time,15
end white oleander adaptation novel,0.47222,4.7222,end white oleand adapt novel,5
end white oleander adaptation novel flashy reduction,0.34722,3.4722,end white oleand adapt novel flashi reduct,7
end admire ensemble players wonder point,0.40278,4.0278,end admir ensembl player wonder point,6
end film feel homogenize bite contrive look back tattered ugly past glass,0.27778,2.7778,end film feel homogen bite contriv look back tatter ugli past glass,12
end film less cheap thriller expect fairly reveal study two main character people whose orbit inevitably dangerously collide,0.69444,6.9444,end film le cheap thriller expect fairli reveal studi two main charact peopl whose orbit inevit danger collid,18
end movie bog insignificance say nothing kennedy assassination reveal nothing pathology pretend investigate,0.11111,1.1111,end movi bog insignific say noth kennedi assassin reveal noth patholog pretend investig,13
end movie collapse shaky foundation despite best efforts director joe carnahan,0.18056,1.8056,end movi collaps shaki foundat despit best effort director joe carnahan,11
end leave something like two ship pass night rather insights gay love chinese society price one pay dishonest,0.20833,2.0833,end leav someth like two ship pas night rather insight gay love chine societi price one pay dishonest,18
end one word best describe film honest,0.625,6.25,end one word best describ film honest,7
era the sopranos feel painfully redundant inauthentic,0.31944,3.1944,era soprano feel pain redund inauthent,6
name allegedly inspire easily marketable flick the emperor club turn blind eye history pretend teach,0.25,2.5,name allegedli inspir easili market flick emperor club turn blind eye histori pretend teach,14
new release cinema paradiso tale turn sweet bittersweet tear come final beautiful scene finally feel absolutely earn,0.80556,8.0556,new releas cinema paradiso tale turn sweet bittersweet tear come final beauti scene final feel absolut earn,17
future movies like ghost ship use analgesic balm overstimulated mind,0.33333,3.3333000000000004,futur movi like ghost ship use analges balm overstimul mind,10
future movies like ghost ship use analgesic balm overstimulated mind right,0.43056,4.3056,futur movi like ghost ship use analges balm overstimul mind right,11
future movies like ghost ship use analgesic balm overstimulated mind right merely signpost mark slow linger death imagination,0.41667,4.1667,futur movi like ghost ship use analges balm overstimul mind right mere signpost mark slow linger death imagin,18
process demonstrate still lot life hong kong cinema,0.72222,7.2222,process demonstr still lot life hong kong cinema,8
process trim movie expeditious minutes director roger kumble seem dump whole lot plot favor outrageous gag,0.25,2.5,process trim movi expediti minut director roger kumbl seem dump whole lot plot favor outrag gag,16
real world actor uncharismatically beautiful would load credit like girl bar,0.36111,3.6111,real world actor uncharismat beauti would load credit like girl bar,11
second half film frei control loosen direct proportion amount screen time give nachtwey,0.33333,3.3333000000000004,second half film frei control loosen direct proport amount screen time give nachtwey,13
spirit season assign one bright shin star roberto benigni pinocchio guarantee wise men follow,0.34722,3.4722,spirit season assign one bright shin star roberto benigni pinocchio guarante wise men follow,14
tell story largely untold bui choose produce something ultimately suspiciously familiar,0.59722,5.9722,tell stori larg untold bui choos produc someth ultim suspici familiar,11
wake saving private ryan black hawk down were soldiers,0.5,5.0,wake save privat ryan black hawk soldier,7
wake saving private ryan black hawk down were soldiers likely heartily sick mayhem cage marine,0.31944,3.1944,wake save privat ryan black hawk soldier like heartili sick mayhem cage marin,13
wrong hand peploe simply unbearable,0.22222,2.2222,wrong hand peplo simpli unbear,5
film aussie david caesar channel career guy ritchie,0.55556,5.5556,film aussi david caesar channel career guy ritchi,8
film least see study contrast wide range one actor limit range comedian,0.44444,4.4444,film least see studi contrast wide rang one actor limit rang comedian,12
visual fertility treasure planet rival top japanese animations recent vintage,0.68056,6.8056,visual fertil treasur planet rival top japanes anim recent vintag,10
ndeed none word really get special type badness deuces wild,0.44444,4.4444,ndeed none word realli get special type bad deuc wild,10
ndeed outrageous bits achieve intensity almost dadaist proportion,0.61111,6.1111,ndeed outrag bit achiev intens almost dadaist proport,8
ndependence complete load cgi bushel violence drop,0.54167,5.4167,ndepend complet load cgi bushel violenc drop,7
ndependence complete load cgi bushel violence drop human blood,0.33333,3.3333000000000004,ndepend complet load cgi bushel violenc drop human blood,9
ndia popular gulzar jagjit singh,0.66667,6.6667,ndia popular gulzar jagjit singh,5
ndian love call jeanette macdonald,0.5,5.0,ndian love call jeanett macdonald,5
nfidelity drama nicely shoot feature standout performance diane lane,0.84722,8.472199999999999,nfidel drama nice shoot featur standout perform dian lane,9
nherently caustic oddly whimsical film chime grieve process strangely draw audience unexplainable pain eccentricities attach concept loss,0.72222,7.2222,nherent caustic oddli whimsic film chime griev process strang draw audienc unexplain pain eccentr attach concept loss,17
nitially grip eventually cloy pow drama,0.61111,6.1111,nitial grip eventu cloy pow drama,6
nsanely hilarious laugh hard years,0.98611,9.8611,nsane hilari laugh hard year,5
nside film plot decent moral try get tension keep seat affleck jackson good spar partner,0.70833,7.0833,nside film plot decent moral tri get tension keep seat affleck jackson good spar partner,15
nsomnia many ways conventional even predictable remake,0.41667,4.1667,nsomnia mani way convent even predict remak,7
nsomnia involve still think could,0.31944,3.1944,nsomnia involv still think could,5
nsomnia lose point surrender formulaic scene conclusion,0.22222,2.2222,nsomnia lose point surrend formula scene conclus,7
nsomnia lose point surrender formulaic scene conclusion but,0.27778,2.7778,nsomnia lose point surrend formula scene conclus,7
nstead focus anguish develop one mull leave familiar traverse uncharted grind,0.59722,5.9722,nstead focu anguish develop one mull leav familiar travers unchart grind,11
nstead see chance revitalize always remarkable traditions,0.68056,6.8056,nstead see chanc revit alway remark tradit,7
nstead get messy anger movie personal therapy,0.23611,2.3611,nstead get messi anger movi person therapi,7
nstead balance film explain zeitgeist games,0.27778,2.7778,nstead balanc film explain zeitgeist game,6
nstead balance film explain zeitgeist games get cinematic postcard superficial unrealized,0.097222,0.9722200000000001,nstead balanc film explain zeitgeist game get cinemat postcard superfici unreal,11
nstead hyperbolic urban western unpretentious sociologically point slice life,0.72222,7.2222,nstead hyperbol urban western unpretenti sociolog point slice life,9
nstead witty expose banality hypocrisy much,0.31944,3.1944,nstead witti expo banal hypocrisi much,6
nstead witty expose banality hypocrisy much get ugly lash adult apparently force kid watch many barney videos,0.27778,2.7778,nstead witti expo banal hypocrisi much get ugli lash adult appar forc kid watch mani barney video,17
nstead accurately account terrible true story,0.34722,3.4722,nstead accur account terribl true stori,6
